"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF614_00_01","3799","30.04","1.3e+07",0.5,"6.3e+06","26.1","4L_UV","29-Aug-2025"
"INF614_00_02","4151","31.14","1.3e+07",0.5,"6.7e+06","27.1","4L_UV","29-Aug-2025"
"INF614_04_01","1821","31.09","5.9e+06",0.5,"2.9e+06","27.1","4L_UV","29-Aug-2025"
"INF614_04_02","1578","30.19","5.2e+06",0.5,"2.6e+06","26.4","4L_UV","29-Aug-2025"
"INF614_09_01","2483","30.26","8.2e+06",0.5,"4.1e+06","26.2","4L_UV","29-Aug-2025"
"INF614_09_02","1176","30.09","3.9e+06",0.5,"2e+06","26.3","4L_UV","29-Aug-2025"
"INF622_00_01","1941","30.4","6.4e+06",0.5,"3.2e+06","26.5","4L_UV","29-Aug-2025"
"INF622_00_02","2222","31.12","7.1e+06",0.5,"3.6e+06","27.2","4L_UV","29-Aug-2025"
"INF622_04_01","852","31.06","2.7e+06",0.5,"1.4e+06","27.1","4L_UV","29-Aug-2025"
"INF622_04_02","1316","31.12","4.2e+06",0.5,"2.1e+06","27.1","4L_UV","29-Aug-2025"
"INF622_09_01","2816","31.09","9.1e+06",0.5,"4.5e+06","27.1","4L_UV","29-Aug-2025"
"INF622_09_02","1396","31.08","4.5e+06",0.5,"2.2e+06","27.1","4L_UV","29-Aug-2025"
"INF627_04_01","350","31.15","1.1e+06",0.5,"5.6e+05","27.1","4L_UV","29-Aug-2025"
"INF627_04_02","1511","30.25","5e+06",0.5,"2.5e+06","26.2","4L_UV","29-Aug-2025"
"INF627_09_01","2542","30.09","8.4e+06",0.5,"4.2e+06","26.1","4L_UV","29-Aug-2025"
"INF627_09_02","2124","30.07","7.1e+06",0.5,"3.5e+06","26.1","4L_UV","29-Aug-2025"
"ND050_09","2198","30.2","7.3e+06",0.5,"3.6e+06","26.1","4L_UV","29-Aug-2025"
"NY068_09","5111","30.3","1.7e+07",0.5,"8.4e+06","26.1","4L_UV","29-Aug-2025"
