"name","CD45","CD14","CD19","TandNKcells"
"INF614_00_01",1.3e+07,3300000,1800000,7e+06
"INF614_00_02",1.3e+07,3200000,2e+06,7500000
"INF614_04_01",2950000,285000,850000,1600000
"INF614_04_02",2600000,215000,850000,1350000
"INF614_09_01",4100000,7e+05,1e+06,2150000
"INF614_09_02",1950000,165000,650000,1e+06
"INF622_00_01",6400000,1500000,630000,3600000
"INF622_00_02",7100000,1600000,630000,4100000
"INF622_04_01",1350000,85000,210000,1100000
"INF622_04_02",2100000,55000,390000,1600000
"INF622_09_01",4550000,90000,1100000,3250000
"INF622_09_02",2250000,46500,550000,1600000
"INF627_04_01",550000,17500,115000,415000
"INF627_04_02",2500000,135000,8e+05,1400000
"INF627_09_01",4200000,260000,850000,2850000
"INF627_09_02",3550000,205000,650000,2350000
"ND050_09",7300000,1300000,430000,5200000
"NY068_09",1.7e+07,3300000,820000,1.2e+07
