"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF614_00_01","29-Aug-2025",1.3e+07,1,"1.3e+07","6e+06","2.2","1.2",FALSE,1,"2.2"
"INF614_00_02","29-Aug-2025",1.3e+07,1,"1.3e+07","6e+06","2.2","1.2",FALSE,1,"2.2"
"INF614_04_01","29-Aug-2025",5900000,0.5,"3e+06","6e+06","0.5","0",FALSE,1,"0.5"
"INF614_04_02","29-Aug-2025",5200000,0.5,"2.6e+06","6e+06","0.43","-0.067",TRUE,1,"0.43"
"Spin_INF614_04_02","29-Aug-2025",NA,NA,"2.6e+06","6e+06","0.43","0.43",FALSE,1,"0.43"
"INF614_09_01","29-Aug-2025",8200000,0.5,"4.1e+06","6e+06","0.68","0.18",FALSE,1,"0.68"
"INF614_09_02","29-Aug-2025",3900000,0.5,"2e+06","6e+06","0.33","-0.17",TRUE,1,"0.33"
"Spin_INF614_09_02","29-Aug-2025",NA,NA,"2e+06","6e+06","0.33","0.33",FALSE,1,"0.33"
"INF622_00_01","29-Aug-2025",6400000,1,"6.4e+06","6e+06","1.1","0.067",FALSE,1,"1.1"
"INF622_00_02","29-Aug-2025",7100000,1,"7.1e+06","6e+06","1.2","0.18",FALSE,1,"1.2"
"INF622_04_01","29-Aug-2025",2700000,0.5,"1.4e+06","6e+06","0.23","-0.27",TRUE,1,"0.23"
"Spin_INF622_04_01","29-Aug-2025",NA,NA,"1.4e+06","6e+06","0.23","0.23",FALSE,1,"0.23"
"INF622_04_02","29-Aug-2025",4200000,0.5,"2.1e+06","6e+06","0.35","-0.15",TRUE,1,"0.35"
"Spin_INF622_04_02","29-Aug-2025",NA,NA,"2.1e+06","6e+06","0.35","0.35",FALSE,1,"0.35"
"INF622_09_01","29-Aug-2025",9100000,0.5,"4.6e+06","6e+06","0.77","0.27",FALSE,1,"0.77"
"INF622_09_02","29-Aug-2025",4500000,0.5,"2.2e+06","6e+06","0.37","-0.13",TRUE,1,"0.37"
"Spin_INF622_09_02","29-Aug-2025",NA,NA,"2.2e+06","6e+06","0.37","0.37",FALSE,1,"0.37"
"INF627_04_01","29-Aug-2025",1100000,0.5,"5.5e+05","6e+06","0.092","-0.41",TRUE,1,"0.092"
"Spin_INF627_04_01","29-Aug-2025",NA,NA,"5.5e+05","6e+06","0.092","0.092",FALSE,1,"0.092"
"INF627_04_02","29-Aug-2025",5e+06,0.5,"2.5e+06","6e+06","0.42","-0.083",TRUE,1,"0.42"
"Spin_INF627_04_02","29-Aug-2025",NA,NA,"2.5e+06","6e+06","0.42","0.42",FALSE,1,"0.42"
"INF627_09_01","29-Aug-2025",8400000,0.5,"4.2e+06","6e+06","0.7","0.2",FALSE,1,"0.7"
"INF627_09_02","29-Aug-2025",7100000,0.5,"3.6e+06","6e+06","0.6","0.1",FALSE,1,"0.6"
"ND050_09","29-Aug-2025",7300000,1,"7.3e+06","6e+06","1.2","0.22",FALSE,1,"1.2"
"NY068_09","29-Aug-2025",1.7e+07,1,"1.7e+07","6e+06","2.8","1.8",FALSE,1,"2.8"
