"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF046_00_01","11-Oct-2025",1e+07,1,"1e+07","6e+06","1.7","0.67",FALSE,1,"1.7"
"INF046_04_01","11-Oct-2025",1.9e+07,0.5,"9.5e+06","6e+06","1.6","1.1",FALSE,1,"1.6"
"INF046_04_02","11-Oct-2025",1.7e+07,0.5,"8.5e+06","6e+06","1.4","0.92",FALSE,1,"1.4"
"INF046_09_01","11-Oct-2025",1.3e+07,0.5,"6.5e+06","6e+06","1.1","0.58",FALSE,1,"1.1"
"INF046_09_02","11-Oct-2025",1.3e+07,0.5,"6.5e+06","6e+06","1.1","0.58",FALSE,1,"1.1"
"INF063_00_01","11-Oct-2025",7600000,1,"7.6e+06","6e+06","1.3","0.27",FALSE,1,"1.3"
"INF063_04_01","11-Oct-2025",5600000,0.5,"2.8e+06","6e+06","0.47","-0.033",TRUE,1,"0.47"
"Spin_INF063_04_01","11-Oct-2025",NA,NA,"2.8e+06","6e+06","0.47","0.47",FALSE,1,"0.47"
"INF063_04_02","11-Oct-2025",5800000,0.5,"2.9e+06","6e+06","0.48","-0.017",TRUE,1,"0.48"
"Spin_INF063_04_02","11-Oct-2025",NA,NA,"2.9e+06","6e+06","0.48","0.48",FALSE,1,"0.48"
"INF063_09_01","11-Oct-2025",5800000,0.5,"2.9e+06","6e+06","0.48","-0.017",TRUE,1,"0.48"
"Spin_INF063_09_01","11-Oct-2025",NA,NA,"2.9e+06","6e+06","0.48","0.48",FALSE,1,"0.48"
"INF063_09_02","11-Oct-2025",4200000,0.5,"2.1e+06","6e+06","0.35","-0.15",TRUE,1,"0.35"
"Spin_INF063_09_02","11-Oct-2025",NA,NA,"2.1e+06","6e+06","0.35","0.35",FALSE,1,"0.35"
"INF101_00_01","11-Oct-2025",9500000,1,"9.5e+06","6e+06","1.6","0.58",FALSE,1,"1.6"
"INF101_04_01","11-Oct-2025",1.2e+07,0.5,"6e+06","6e+06","1","0.5",FALSE,1,"1"
"INF101_04_02","11-Oct-2025",1.1e+07,0.5,"5.5e+06","6e+06","0.92","0.42",FALSE,1,"0.92"
"INF101_09_01","11-Oct-2025",7e+05,0.5,"3.5e+05","6e+06","0.058","-0.44",TRUE,1,"0.058"
"Spin_INF101_09_01","11-Oct-2025",NA,NA,"3.5e+05","6e+06","0.058","0.058",FALSE,1,"0.058"
"INF101_09_02","11-Oct-2025",960000,0.5,"4.8e+05","6e+06","0.08","-0.42",TRUE,1,"0.08"
"Spin_INF101_09_02","11-Oct-2025",NA,NA,"4.8e+05","6e+06","0.08","0.08",FALSE,1,"0.08"
"ND050_12","11-Oct-2025",8300000,1,"8.3e+06","6e+06","1.4","0.38",FALSE,1,"1.4"
"NY068_12","11-Oct-2025",1.9e+07,1,"1.9e+07","6e+06","3.2","2.2",FALSE,1,"3.2"
