"specimen","vial"
"INF046-",1
"INF046-",2
"INF046-",3
"INF046-",4
"INF046-",5
"IN063-",1
"IN063-",2
"IN063-",3
"IN063-",4
"IN063-",5
"INF101-",1
"INF101-",2
"INF101-",3
"INF101-",4
"INF101-",5
"NY068",1
"ND050",1
