"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF046_00_01","3063","30.4","1e+07",0.5,"5e+06","27.1","4L_UV","11-Oct-2025"
"INF046_04_01","5786","30.34","1.9e+07",0.5,"9.5e+06","27.2","4L_UV","11-Oct-2025"
"INF046_04_02","5304","30.48","1.7e+07",0.5,"8.7e+06","27.2","4L_UV","11-Oct-2025"
"INF046_09_01","3925","30.46","1.3e+07",0.5,"6.4e+06","27.2","4L_UV","11-Oct-2025"
"INF046_09_02","3835","30.48","1.3e+07",0.5,"6.3e+06","27.1","4L_UV","11-Oct-2025"
"INF063_00_01","2304","30.4","7.6e+06",0.5,"3.8e+06","27.2","4L_UV","11-Oct-2025"
"INF063_04_01","1699","30.51","5.6e+06",0.5,"2.8e+06","27.2","4L_UV","11-Oct-2025"
"INF063_04_02","1781","30.56","5.8e+06",0.5,"2.9e+06","27.2","4L_UV","11-Oct-2025"
"INF063_09_01","1775","30.48","5.8e+06",0.5,"2.9e+06","27.2","4L_UV","11-Oct-2025"
"INF063_09_02","1272","30.45","4.2e+06",0.5,"2.1e+06","27.1","4L_UV","11-Oct-2025"
"INF101_00_01","2898","30.43","9.5e+06",0.5,"4.8e+06","27.1","4L_UV","11-Oct-2025"
"INF101_04_01","3563","30.62","1.2e+07",0.5,"5.8e+06","27.4","4L_UV","11-Oct-2025"
"INF101_04_02","3479","30.41","1.1e+07",0.5,"5.7e+06","27.2","4L_UV","11-Oct-2025"
"INF101_09_01","211","30.34","7e+05",0.5,"3.5e+05","27.1","4L_UV","11-Oct-2025"
"INF101_09_02","293","30.63","9.6e+05",0.5,"4.8e+05","27.3","4L_UV","11-Oct-2025"
"ND050_12","2558","30.66","8.3e+06",0.5,"4.2e+06","27.2","4L_UV","11-Oct-2025"
"NY068_12","5738","30.66","1.9e+07",0.5,"9.4e+06","27.2","4L_UV","11-Oct-2025"
