"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF019-0_00_01","4158","30.47","1.4e+07",0.5,"6.8e+06","27.2","4L_UV","04-Aug-2025"
"INF019-0_00_02","3574","30.21","1.2e+07",0.5,"5.9e+06","26.9","4L_UV","04-Aug-2025"
"INF019-0_04_01","3300","30.35","1.1e+07",0.5,"5.4e+06","27.1","4L_UV","04-Aug-2025"
"INF019-0_04_02","3134","30.29","1e+07",0.5,"5.2e+06","27.1","4L_UV","04-Aug-2025"
"INF019-0_09_01","3953","30.84","1.3e+07",0.5,"6.4e+06","27.4","4L_UV","04-Aug-2025"
"INF019-0_09_02","3754","30.52","1.2e+07",0.5,"6.2e+06","27.2","4L_UV","04-Aug-2025"
"INF032-5_00_01","1970","30.64","6.4e+06",0.5,"3.2e+06","27.2","4L_UV","04-Aug-2025"
"INF032-5_00_02","1814","30.5","5.9e+06",0.5,"3e+06","27.2","4L_UV","04-Aug-2025"
"INF032-5_04_01","1294","30.83","4.2e+06",0.5,"2.1e+06","27.5","4L_UV","04-Aug-2025"
"INF032-5_04_02","1260","30.58","4.1e+06",0.5,"2.1e+06","27.2","4L_UV","04-Aug-2025"
"INF032-5_09_01","3218","30.41","1.1e+07",0.5,"5.3e+06","27.1","4L_UV","04-Aug-2025"
"INF032-5_09_02","2744","30.47","9e+06",0.5,"4.5e+06","27.2","4L_UV","04-Aug-2025"
"INF180-9_00_01","2784","30.73","9.1e+06",0.5,"4.5e+06","27.4","4L_UV","04-Aug-2025"
"INF180-9_00_02","2320","30.43","7.6e+06",0.5,"3.8e+06","27.2","4L_UV","04-Aug-2025"
"INF180-9_04_01","1385","30.73","4.5e+06",0.5,"2.3e+06","27.5","4L_UV","04-Aug-2025"
"INF180-9_04_02","1312","30.55","4.3e+06",0.5,"2.1e+06","27.3","4L_UV","04-Aug-2025"
"INF180-9_09_01","583","30.61","1.9e+06",0.5,"9.5e+05","27.3","4L_UV","04-Aug-2025"
"INF180-9_09_02","1050","30.9","3.4e+06",0.5,"1.7e+06","27.7","4L_UV","04-Aug-2025"
"ND006_05","2540","30.25","8.4e+06",0.5,"4.2e+06","27.2","4L_UV","04-Aug-2025"
"ND050_05","2056","30.31","6.8e+06",0.5,"3.4e+06","27.2","4L_UV","04-Aug-2025"
"NY068_05","4824","30.37","1.6e+07",0.5,"7.9e+06","27.1","4L_UV","04-Aug-2025"
