"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF019-0_00_01","04-Aug-2025",1.4e+07,1,"1.4e+07","6e+06","2.3","1.3",FALSE,1,"2.3"
"INF019-0_00_02","04-Aug-2025",1.2e+07,1,"1.2e+07","6e+06","2","1",FALSE,1,"2"
"INF019-0_04_01","04-Aug-2025",1.1e+07,0.5,"5.5e+06","6e+06","0.92","0.42",FALSE,1,"0.92"
"INF019-0_04_02","04-Aug-2025",1e+07,0.5,"5e+06","6e+06","0.83","0.33",FALSE,1,"0.83"
"INF019-0_09_01","04-Aug-2025",1.3e+07,0.5,"6.5e+06","6e+06","1.1","0.58",FALSE,1,"1.1"
"INF019-0_09_02","04-Aug-2025",1.2e+07,0.5,"6e+06","6e+06","1","0.5",FALSE,1,"1"
"INF032-5_00_01","04-Aug-2025",6400000,1,"6.4e+06","6e+06","1.1","0.067",FALSE,1,"1.1"
"INF032-5_00_02","04-Aug-2025",5900000,1,"5.9e+06","6e+06","0.98","-0.017",TRUE,1,"0.98"
"Spin_INF032-5_00_02","04-Aug-2025",NA,NA,"5.9e+06","6e+06","0.98","0.98",FALSE,1,"0.98"
"INF032-5_04_01","04-Aug-2025",4200000,0.5,"2.1e+06","6e+06","0.35","-0.15",TRUE,1,"0.35"
"Spin_INF032-5_04_01","04-Aug-2025",NA,NA,"2.1e+06","6e+06","0.35","0.35",FALSE,1,"0.35"
"INF032-5_04_02","04-Aug-2025",4100000,0.5,"2e+06","6e+06","0.33","-0.17",TRUE,1,"0.33"
"Spin_INF032-5_04_02","04-Aug-2025",NA,NA,"2e+06","6e+06","0.33","0.33",FALSE,1,"0.33"
"INF032-5_09_01","04-Aug-2025",1.1e+07,0.5,"5.5e+06","6e+06","0.92","0.42",FALSE,1,"0.92"
"INF032-5_09_02","04-Aug-2025",9e+06,0.5,"4.5e+06","6e+06","0.75","0.25",FALSE,1,"0.75"
"INF180-9_00_01","04-Aug-2025",9100000,1,"9.1e+06","6e+06","1.5","0.52",FALSE,1,"1.5"
"INF180-9_00_02","04-Aug-2025",7600000,1,"7.6e+06","6e+06","1.3","0.27",FALSE,1,"1.3"
"INF180-9_04_01","04-Aug-2025",4500000,0.5,"2.2e+06","6e+06","0.37","-0.13",TRUE,1,"0.37"
"Spin_INF180-9_04_01","04-Aug-2025",NA,NA,"2.2e+06","6e+06","0.37","0.37",FALSE,1,"0.37"
"INF180-9_04_02","04-Aug-2025",4300000,0.5,"2.2e+06","6e+06","0.37","-0.13",TRUE,1,"0.37"
"Spin_INF180-9_04_02","04-Aug-2025",NA,NA,"2.2e+06","6e+06","0.37","0.37",FALSE,1,"0.37"
"INF180-9_09_01","04-Aug-2025",1900000,0.5,"9.5e+05","6e+06","0.16","-0.34",TRUE,1,"0.16"
"Spin_INF180-9_09_01","04-Aug-2025",NA,NA,"9.5e+05","6e+06","0.16","0.16",FALSE,1,"0.16"
"INF180-9_09_02","04-Aug-2025",3400000,0.5,"1.7e+06","6e+06","0.28","-0.22",TRUE,1,"0.28"
"Spin_INF180-9_09_02","04-Aug-2025",NA,NA,"1.7e+06","6e+06","0.28","0.28",FALSE,1,"0.28"
"ND006_05","04-Aug-2025",8400000,1,"8.4e+06","6e+06","1.4","0.4",FALSE,1,"1.4"
"ND050_05","04-Aug-2025",6800000,1,"6.8e+06","6e+06","1.1","0.13",FALSE,1,"1.1"
"NY068_05","04-Aug-2025",1.6e+07,1,"1.6e+07","6e+06","2.7","1.7",FALSE,1,"2.7"
