"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF013_00_01","4156","30.64","1.4e+07",0.5,"6.8e+06","27.3","4L_UV","21-Aug-2025"
"INF013_00_02","3766","30.45","1.2e+07",0.5,"6.2e+06","27.1","4L_UV","21-Aug-2025"
"INF013_00_03","3865","30.57","1.3e+07",0.5,"6.3e+06","27.2","4L_UV","21-Aug-2025"
"INF013_04_01","3695","30.72","1.2e+07",0.5,"6e+06","27.4","4L_UV","21-Aug-2025"
"INF013_04_02","4228","30.5","1.4e+07",0.5,"6.9e+06","27.1","4L_UV","21-Aug-2025"
"INF013_09_01","2257","30.37","7.4e+06",0.5,"3.7e+06","27.1","4L_UV","21-Aug-2025"
"INF013_09_02","1819","30.4","6e+06",0.5,"3e+06","27.1","4L_UV","21-Aug-2025"
"INF023_00_01","4586","30.49","1.5e+07",0.5,"7.5e+06","27.2","4L_UV","21-Aug-2025"
"INF023_00_02","3473","30.31","1.1e+07",0.5,"5.7e+06","27.1","4L_UV","21-Aug-2025"
"INF023_00_03","3535","30.35","1.2e+07",0.5,"5.8e+06","27.1","4L_UV","21-Aug-2025"
"INF023_04_01","4835","30.43","1.6e+07",0.5,"7.9e+06","27.1","4L_UV","21-Aug-2025"
"INF023_04_02","6265","30.44","2.1e+07",0.5,"1e+07","27.2","4L_UV","21-Aug-2025"
"INF023_09_01","2947","30.32","9.7e+06",0.5,"4.9e+06","27.1","4L_UV","21-Aug-2025"
"INF023_09_02","2814","30.32","9.3e+06",0.5,"4.6e+06","27.1","4L_UV","21-Aug-2025"
"INF030_00_01","2746","30.63","9e+06",0.5,"4.5e+06","27.1","4L_UV","21-Aug-2025"
"INF030_00_02","2168","30","7.2e+06",0.5,"3.6e+06","26.7","4L_UV","21-Aug-2025"
"INF030_00_03","2508","30.56","8.2e+06",0.5,"4.1e+06","27.2","4L_UV","21-Aug-2025"
"INF030_00_04","4110","30.52","1.3e+07",0.5,"6.7e+06","27.2","4L_UV","21-Aug-2025"
"INF030_04_01","2249","30.71","7.3e+06",0.5,"3.7e+06","27.3","4L_UV","21-Aug-2025"
"INF030_04_02","2652","30.31","8.7e+06",0.5,"4.4e+06","27.1","4L_UV","21-Aug-2025"
"INF030_09_01","4117","30.84","1.3e+07",0.5,"6.7e+06","27.5","4L_UV","21-Aug-2025"
"INF030_09_02","5233","30.46","1.7e+07",0.5,"8.6e+06","27.1","4L_UV","21-Aug-2025"
"ND006_07","3384","30.53","1.1e+07",0.5,"5.5e+06","27.2","4L_UV","21-Aug-2025"
"ND050_07","2515","30.35","8.3e+06",0.5,"4.1e+06","27.1","4L_UV","21-Aug-2025"
"NY068_07","5610","30.82","1.8e+07",0.5,"9.1e+06","27.5","4L_UV","21-Aug-2025"
