"sample","pop","count"
"2025_07_26_AB_02-INF052-00_SEB.fcs","root",2523776
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC",2282292
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC",2041563
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB",1889418
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",1092762
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",970162
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",947441
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",734179
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",669252
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",171392
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",497860
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",201287
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",1857
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",199430
"2025_07_26_AB_02-INF052-00_SEB.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",1695
