"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF124-7_00_01","2810","30.99","9.1e+06",0.5,"4.5e+06","27.1","4L_UV","30-Jul-2025"
"INF124-7_04_01","5324","31.06","1.7e+07",0.5,"8.6e+06","27.3","4L_UV","30-Jul-2025"
"INF124-7_04_02","4819","30.8","1.6e+07",0.5,"7.8e+06","27.2","4L_UV","30-Jul-2025"
"INF124-7_09_01","1525","31.06","4.9e+06",0.5,"2.5e+06","27.3","4L_UV","30-Jul-2025"
"INF124-7_09_02","1944","31.05","6.3e+06",0.5,"3.1e+06","27.3","4L_UV","30-Jul-2025"
"INF149-4_00_01","2821","30.93","9.1e+06",0.5,"4.6e+06","26.5","4L_UV","30-Jul-2025"
"INF149-4_00_02","3816","30.75","1.2e+07",0.5,"6.2e+06","27.2","4L_UV","30-Jul-2025"
"INF149-4_04_01","2708","30.42","8.9e+06",0.5,"4.5e+06","27.1","4L_UV","30-Jul-2025"
"INF149-4_04_02","2752","30.54","9e+06",0.5,"4.5e+06","27.1","4L_UV","30-Jul-2025"
"INF149-4_09_01","2152","30.96","7e+06",0.5,"3.5e+06","27.4","4L_UV","30-Jul-2025"
"INF149-4_09_02","1993","30.97","6.4e+06",0.5,"3.2e+06","27.4","4L_UV","30-Jul-2025"
"INF169-6_00_01","2071","30.81","6.7e+06",0.5,"3.4e+06","27.1","4L_UV","30-Jul-2025"
"INF169-6_00_02","2067","30.68","6.7e+06",0.5,"3.4e+06","27.1","4L_UV","30-Jul-2025"
"INF169-6_04_01","2251","30.58","7.4e+06",0.5,"3.7e+06","27.1","4L_UV","30-Jul-2025"
"INF169-6_04_02","2427","31.12","7.8e+06",0.5,"3.9e+06","27.2","4L_UV","30-Jul-2025"
"INF169-6_09_01","2928","31.05","9.4e+06",0.5,"4.7e+06","27.3","4L_UV","30-Jul-2025"
"INF169-6_09_02","2185","30.88","7.1e+06",0.5,"3.5e+06","27.2","4L_UV","30-Jul-2025"
"ND006_04","2861","30.78","9.3e+06",0.5,"4.6e+06","27.2","4L_UV","30-Jul-2025"
"ND050_04","2321","30.65","7.6e+06",0.5,"3.8e+06","27.1","4L_UV","30-Jul-2025"
"NY068_04","5650","30.61","1.8e+07",0.5,"9.2e+06","26.8","4L_UV","30-Jul-2025"
