"specimen","vial"
"INF149-4",1
"INF149-4",2
"INF149-4",3
"INF149-4",4
"INF149-4",5
"INF149-4",6
"INF169-6",1
"INF169-6",2
"INF169-6",3
"INF169-6",4
"INF169-6",5
"INF169-6",6
"INF124-7",1
"INF124-7",2
"INF124-7",3
"INF124-7",4
"INF124-7",5
"NY068",1
"ND050",1
"ND006",1
