"name","CD45","CD14","CD19","TandNKcells"
"INF124-7_00_01",9100000,2200000,1800000,4700000
"INF124-7_04_01",8500000,6e+05,2350000,5e+06
"INF124-7_04_02",8e+06,5e+05,1950000,4950000
"INF124-7_09_01",4900000,230000,1800000,2700000
"INF124-7_09_02",6300000,310000,2300000,3500000
"INF149-4_00_01",9100000,1900000,1100000,4800000
"INF149-4_00_02",1.2e+07,2500000,1300000,6900000
"INF149-4_04_01",4450000,180000,1300000,2700000
"INF149-4_04_02",4500000,140000,1300000,2750000
"INF149-4_09_01",3500000,180000,7e+05,2300000
"INF149-4_09_02",3200000,180000,650000,2200000
"INF169-6_00_01",6700000,2200000,630000,3600000
"INF169-6_00_02",6700000,2100000,460000,3700000
"INF169-6_04_01",3700000,3e+05,650000,2350000
"INF169-6_04_02",3900000,370000,8e+05,2400000
"INF169-6_09_01",4700000,435000,1250000,2700000
"INF169-6_09_02",3550000,335000,9e+05,2100000
"ND006_04",9300000,1300000,1100000,6600000
"ND050_04",7600000,1300000,420000,5300000
"NY068_04",1.8e+07,3500000,880000,1.3e+07
