"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF186_09_02","25-Jul-2025",1.3e+07,0.5,"6.5e+06","4e+06","1.6","1.1",FALSE,1,"1.6"
"INF179_09_02","25-Jul-2025",9500000,0.5,"4.8e+06","4e+06","1.2","0.7",FALSE,1,"1.2"
"INF100_09_02","25-Jul-2025",2300000,0.5,"1.2e+06","4e+06","0.3","-0.2",TRUE,1,"0.3"
"Spin_INF100_09_02","25-Jul-2025",NA,NA,"1.2e+06","4e+06","0.3","0.3",FALSE,1,"0.3"
"INF186_09_01","25-Jul-2025",1.1e+07,0.5,"5.5e+06","4e+06","1.4","0.88",FALSE,1,"1.4"
"INF179_09_01","25-Jul-2025",1.2e+07,0.5,"6e+06","4e+06","1.5","1",FALSE,1,"1.5"
"INF100_09_01","25-Jul-2025",3700000,0.5,"1.8e+06","4e+06","0.45","-0.05",TRUE,1,"0.45"
"Spin_INF100_09_01","25-Jul-2025",NA,NA,"1.8e+06","4e+06","0.45","0.45",FALSE,1,"0.45"
"INF186_04_02","25-Jul-2025",8900000,0.5,"4.4e+06","4e+06","1.1","0.6",FALSE,1,"1.1"
"INF179_04_02","25-Jul-2025",1.8e+07,0.5,"9e+06","4e+06","2.2","1.8",FALSE,1,"2.2"
"INF100_04_02","25-Jul-2025",1.3e+07,0.5,"6.5e+06","4e+06","1.6","1.1",FALSE,1,"1.6"
"INF186_04_01","25-Jul-2025",5400000,0.5,"2.7e+06","4e+06","0.68","0.18",FALSE,1,"0.68"
"INF179_04_01","25-Jul-2025",2.1e+07,0.5,"1e+07","4e+06","2.5","2",FALSE,1,"2.5"
"INF100_04_01","25-Jul-2025",1.3e+07,0.5,"6.5e+06","4e+06","1.6","1.1",FALSE,1,"1.6"
"NY068_02","25-Jul-2025",2e+07,1,"2e+07","4e+06","5","4",FALSE,1,"5"
"ND050_02","25-Jul-2025",8700000,1,"8.7e+06","4e+06","2.2","1.2",FALSE,1,"2.2"
"ND006_02","25-Jul-2025",1e+07,1,"1e+07","4e+06","2.5","1.5",FALSE,1,"2.5"
"INF100_00_02","25-Jul-2025",8300000,1,"8.3e+06","4e+06","2.1","1.1",FALSE,1,"2.1"
"INF100_00_01","25-Jul-2025",9100000,1,"9.1e+06","4e+06","2.3","1.3",FALSE,1,"2.3"
"INF179_00","25-Jul-2025",1.4e+07,1,"1.4e+07","4e+06","3.5","2.5",FALSE,1,"3.5"
"INF052_00","25-Jul-2025",1.4e+07,2,"2.8e+07","4e+06","7","5",FALSE,1,"7"
