"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF186_09_02","4013","30.18","1.3e+07",0.5,"6.6e+06","28.2","3L","25-Jul-2025"
"INF179_09_02","2880","30.47","9.5e+06",0.5,"4.7e+06","28.5","3L","25-Jul-2025"
"INF100_09_02","705","30.36","2.3e+06",0.5,"1.2e+06","28.4","3L","25-Jul-2025"
"INF186_09_01","3468","30.31","1.1e+07",0.5,"5.7e+06","28.3","3L","25-Jul-2025"
"INF179_09_01","3623","30.37","1.2e+07",0.5,"6e+06","28.2","3L","25-Jul-2025"
"INF100_09_01","1120","30.43","3.7e+06",0.5,"1.8e+06","28.4","3L","25-Jul-2025"
"INF186_04_02","2692","30.3","8.9e+06",0.5,"4.4e+06","28.3","3L","25-Jul-2025"
"INF179_04_02","5486","30.63","1.8e+07",0.5,"9e+06","28.5","3L","25-Jul-2025"
"INF100_04_02","4062","30.45","1.3e+07",0.5,"6.7e+06","28.4","3L","25-Jul-2025"
"INF186_04_01","1660","30.55","5.4e+06",0.5,"2.7e+06","28.4","3L","25-Jul-2025"
"INF179_04_01","6458","30.54","2.1e+07",0.5,"1.1e+07","28.4","3L","25-Jul-2025"
"INF100_04_01","3974","30.18","1.3e+07",0.5,"6.6e+06","28","3L","25-Jul-2025"
"NY068_02","6005","30.55","2e+07",0.5,"9.8e+06","28.5","3L","25-Jul-2025"
"ND050_02","2650","30.61","8.7e+06",0.5,"4.3e+06","28.5","3L","25-Jul-2025"
"ND006_02","3147","30.47","1e+07",0.5,"5.2e+06","28.3","3L","25-Jul-2025"
"INF100_00_02","2502","30.31","8.3e+06",0.5,"4.1e+06","28.3","3L","25-Jul-2025"
"INF100_00_01","2763","30.26","9.1e+06",0.5,"4.6e+06","28.2","3L","25-Jul-2025"
"INF179_00","4303","31.04","1.4e+07",0.5,"6.9e+06","28.4","3L","25-Jul-2025"
"INF052_00","4458","30.84","1.4e+07",0.5,"7.2e+06","28.8","3L","25-Jul-2025"
