"specimen","vial"
"INF-000179-7",1
"INF-000179-7",2
"INF-000179-7",3
"INF-000179-7",4
"INF-000179-7",5
"INF-000100-1",1
"INF-000100-1",2
"INF-000100-1",3
"INF-000100-1",4
"INF-000100-1",5
"INF-000100-1",6
"INF-000052-7",1
"INF-000186-5",1
"INF-000186-5",2
"INF-000186-5",3
"INF-000186-5",4
