"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF069_00_01","3116","31.05","1e+07",0.5,"5e+06","27.6","4L_UV","20-Sep-2025"
"INF069_04_01","3624","31.07","1.2e+07",0.5,"5.8e+06","27.1","4L_UV","20-Sep-2025"
"INF069_04_02","3118","30.02","1e+07",0.5,"5.2e+06","26.2","4L_UV","20-Sep-2025"
"INF069_09_01","1594","31.06","5.1e+06",0.5,"2.6e+06","27.2","4L_UV","20-Sep-2025"
"INF069_09_02","1636","30.03","5.4e+06",0.5,"2.7e+06","26.2","4L_UV","20-Sep-2025"
"INF077_00_01","2677","30.07","8.9e+06",0.5,"4.5e+06","26.4","4L_UV","20-Sep-2025"
"INF077_04_01","2738","30.22","9.1e+06",0.5,"4.5e+06","26.5","4L_UV","20-Sep-2025"
"INF077_04_02","2681","30.95","8.7e+06",0.5,"4.3e+06","27.2","4L_UV","20-Sep-2025"
"INF077_09_01","3351","30.92","1.1e+07",0.5,"5.4e+06","27.2","4L_UV","20-Sep-2025"
"INF077_09_02","2507","30.06","8.3e+06",0.5,"4.2e+06","26.3","4L_UV","20-Sep-2025"
"INF197_00_01","2182","31.09","7e+06",0.5,"3.5e+06","27.3","4L_UV","20-Sep-2025"
"INF427_04_01","2297","30.36","7.6e+06",0.5,"3.8e+06","26.7","4L_UV","20-Sep-2025"
"INF427_04_02","2054","30.03","6.8e+06",0.5,"3.4e+06","26.3","4L_UV","20-Sep-2025"
"INF427_09_01","1294","30.21","4.3e+06",0.5,"2.1e+06","26.5","4L_UV","20-Sep-2025"
"INF427_09_02","987","30.1","3.3e+06",0.5,"1.6e+06","26.5","4L_UV","20-Sep-2025"
"ND050_10","2369","30.29","7.8e+06",0.5,"3.9e+06","26.5","4L_UV","20-Sep-2025"
"NY068_10","5451","30.06","1.8e+07",0.5,"9.1e+06","26.3","4L_UV","20-Sep-2025"
