"name","CD45","CD14","CD19","TandNKcells"
"INF069_00_01",1e+07,1500000,1800000,5200000
"INF069_04_01",6e+06,280000,1800000,3400000
"INF069_04_02",5e+06,230000,1300000,3350000
"INF069_09_01",2550000,245000,650000,1500000
"INF069_09_02",2700000,245000,7e+05,1600000
"INF077_00_01",8900000,5e+06,8e+05,2800000
"INF077_04_01",4550000,5e+05,1350000,2500000
"INF077_04_02",4350000,490000,1250000,2400000
"INF077_09_01",5500000,650000,1300000,3200000
"INF077_09_02",4150000,485000,1050000,2400000
"INF197_00_01",7e+06,2e+06,1200000,3700000
"INF427_04_01",3800000,5e+05,950000,2050000
"INF427_04_02",3400000,480000,8e+05,1850000
"INF427_09_01",2150000,43000,5e+05,1550000
"INF427_09_02",1650000,85000,395000,1150000
"ND050_10",7800000,1400000,390000,5700000
"NY068_10",1.8e+07,3100000,550000,1.3e+07
