"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF155-1_00_01","06-Aug-2025",1e+07,1,"1e+07","6e+06","1.7","0.67",FALSE,1,"1.7"
"INF155-1_00_02","06-Aug-2025",1.4e+07,1,"1.4e+07","6e+06","2.3","1.3",FALSE,1,"2.3"
"INF155-1_04_01","06-Aug-2025",7500000,0.5,"3.8e+06","6e+06","0.63","0.13",FALSE,1,"0.63"
"INF155-1_04_02","06-Aug-2025",7600000,0.5,"3.8e+06","6e+06","0.63","0.13",FALSE,1,"0.63"
"INF155-1_09_01","06-Aug-2025",6500000,0.5,"3.2e+06","6e+06","0.53","0.033",FALSE,1,"0.53"
"INF155-1_09_02","06-Aug-2025",5100000,0.5,"2.6e+06","6e+06","0.43","-0.067",TRUE,1,"0.43"
"Spin_INF155-1_09_02","06-Aug-2025",NA,NA,"2.6e+06","6e+06","0.43","0.43",FALSE,1,"0.43"
"INF158-4_00_01","06-Aug-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"INF158-4_00_02","06-Aug-2025",1.2e+07,1,"1.2e+07","6e+06","2","1",FALSE,1,"2"
"INF158-4_04_01","06-Aug-2025",9700000,0.5,"4.8e+06","6e+06","0.8","0.3",FALSE,1,"0.8"
"INF158-4_04_02","06-Aug-2025",9200000,0.5,"4.6e+06","6e+06","0.77","0.27",FALSE,1,"0.77"
"INF158-4_09_01","06-Aug-2025",8500000,0.5,"4.2e+06","6e+06","0.7","0.2",FALSE,1,"0.7"
"INF158-4_09_02","06-Aug-2025",1.2e+07,0.5,"6e+06","6e+06","1","0.5",FALSE,1,"1"
"INF159-5_00_01","06-Aug-2025",6600000,1,"6.6e+06","6e+06","1.1","0.1",FALSE,1,"1.1"
"INF159-5_00_02","06-Aug-2025",7e+06,1,"7e+06","6e+06","1.2","0.17",FALSE,1,"1.2"
"INF159-5_04_01","06-Aug-2025",1.6e+07,0.5,"8e+06","6e+06","1.3","0.83",FALSE,1,"1.3"
"INF159-5_04_02","06-Aug-2025",1.6e+07,0.5,"8e+06","6e+06","1.3","0.83",FALSE,1,"1.3"
"INF159-5_09_01","06-Aug-2025",5700000,0.5,"2.8e+06","6e+06","0.47","-0.033",TRUE,1,"0.47"
"Spin_INF159-5_09_01","06-Aug-2025",NA,NA,"2.8e+06","6e+06","0.47","0.47",FALSE,1,"0.47"
"INF159-5_09_02","06-Aug-2025",7300000,0.5,"3.6e+06","6e+06","0.6","0.1",FALSE,1,"0.6"
"ND006_06","06-Aug-2025",9300000,1,"9.3e+06","6e+06","1.6","0.55",FALSE,1,"1.6"
"ND050_06","06-Aug-2025",7800000,1,"7.8e+06","6e+06","1.3","0.3",FALSE,1,"1.3"
"NY068_06","06-Aug-2025",1.7e+07,1,"1.7e+07","6e+06","2.8","1.8",FALSE,1,"2.8"
