"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF155-1_00_01","3144","30.94","1e+07",0.5,"5.1e+06","27.2","4L_UV","06-Aug-2025"
"INF155-1_00_02","4381","31.02","1.4e+07",0.5,"7.1e+06","27.3","4L_UV","06-Aug-2025"
"INF155-1_04_01","2241","31","7.2e+06",0.5,"3.6e+06","27.2","4L_UV","06-Aug-2025"
"INF155-1_04_02","2212","30.85","7.2e+06",0.5,"3.6e+06","27.1","4L_UV","06-Aug-2025"
"INF155-1_09_01","1829","30.92","5.9e+06",0.5,"3e+06","27.2","4L_UV","06-Aug-2025"
"INF155-1_09_02","1441","30.97","4.7e+06",0.5,"2.3e+06","27.2","4L_UV","06-Aug-2025"
"INF158-4_00_01","3244","30.03","1.1e+07",0.5,"5.4e+06","26.2","4L_UV","06-Aug-2025"
"INF158-4_00_02","3615","30.23","1.2e+07",0.5,"6e+06","26.4","4L_UV","06-Aug-2025"
"INF158-4_04_01","2875","30.19","9.5e+06",0.5,"4.8e+06","26.3","4L_UV","06-Aug-2025"
"INF158-4_04_02","2722","30.14","9e+06",0.5,"4.5e+06","26.4","4L_UV","06-Aug-2025"
"INF158-4_09_01","2587","31.13","8.3e+06",0.5,"4.2e+06","27.3","4L_UV","06-Aug-2025"
"INF158-4_09_02","3523","30","1.2e+07",0.5,"5.9e+06","26.3","4L_UV","06-Aug-2025"
"INF159-5_00_01","2020","30.93","6.5e+06",0.5,"3.3e+06","27.2","4L_UV","06-Aug-2025"
"INF159-5_00_02","2093","30.35","6.9e+06",0.5,"3.4e+06","26.7","4L_UV","06-Aug-2025"
"INF159-5_04_01","4789","30.66","1.6e+07",0.5,"7.8e+06","27.1","4L_UV","06-Aug-2025"
"INF159-5_04_02","4566","30.13","1.5e+07",0.5,"7.6e+06","26.6","4L_UV","06-Aug-2025"
"INF159-5_09_01","1730","30.75","5.6e+06",0.5,"2.8e+06","27.2","4L_UV","06-Aug-2025"
"INF159-5_09_02","2228","30.74","7.2e+06",0.5,"3.6e+06","27.2","4L_UV","06-Aug-2025"
"ND006_06","2844","30.93","9.2e+06",0.5,"4.6e+06","27.4","4L_UV","06-Aug-2025"
"ND050_06","2355","30.74","7.7e+06",0.5,"3.8e+06","27.2","4L_UV","06-Aug-2025"
"NY068_06","5302","31.2","1.7e+07",0.5,"8.5e+06","27.5","4L_UV","06-Aug-2025"
