"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF041_04_01","21-Jul-2025",1.2e+07,0.5,"6e+06","6e+06","1","0.5",FALSE,1,"1"
"INF041_04_02","21-Jul-2025",1.2e+07,0.5,"6e+06","6e+06","1","0.5",FALSE,1,"1"
"INF041_09_01","21-Jul-2025",5300000,0.5,"2.6e+06","6e+06","0.43","-0.067",TRUE,1,"0.43"
"Spin_INF041_09_01","21-Jul-2025",NA,NA,"2.6e+06","6e+06","0.43","0.43",FALSE,1,"0.43"
"INF041_09_02","21-Jul-2025",5300000,0.5,"2.6e+06","6e+06","0.43","-0.067",TRUE,1,"0.43"
"Spin_INF041_09_02","21-Jul-2025",NA,NA,"2.6e+06","6e+06","0.43","0.43",FALSE,1,"0.43"
"INF041_Cord","21-Jul-2025",9400000,1,"9.4e+06","6e+06","1.6","0.57",FALSE,1,"1.6"
"INF105_04_01","21-Jul-2025",1.2e+07,0.5,"6e+06","6e+06","1","0.5",FALSE,1,"1"
"INF105_04_02","21-Jul-2025",1.3e+07,0.5,"6.5e+06","6e+06","1.1","0.58",FALSE,1,"1.1"
"INF105_09_01","21-Jul-2025",5600000,0.5,"2.8e+06","6e+06","0.47","-0.033",TRUE,1,"0.47"
"Spin_INF105_09_01","21-Jul-2025",NA,NA,"2.8e+06","6e+06","0.47","0.47",FALSE,1,"0.47"
"INF105_09_02","21-Jul-2025",7500000,0.5,"3.8e+06","6e+06","0.63","0.13",FALSE,1,"0.63"
"INF105_Cord","21-Jul-2025",2.2e+07,1,"2.2e+07","6e+06","3.7","2.7",FALSE,1,"3.7"
"INF187_04_01","21-Jul-2025",5900000,0.5,"3e+06","6e+06","0.5","0",FALSE,1,"0.5"
"INF187_04_02","21-Jul-2025",6400000,0.5,"3.2e+06","6e+06","0.53","0.033",FALSE,1,"0.53"
"INF187_09_01","21-Jul-2025",4600000,0.5,"2.3e+06","6e+06","0.38","-0.12",TRUE,1,"0.38"
"Spin_INF187_09_01","21-Jul-2025",NA,NA,"2.3e+06","6e+06","0.38","0.38",FALSE,1,"0.38"
"INF187_09_02","21-Jul-2025",7200000,0.5,"3.6e+06","6e+06","0.6","0.1",FALSE,1,"0.6"
"INF187_Cord","21-Jul-2025",1.5e+07,1,"1.5e+07","6e+06","2.5","1.5",FALSE,1,"2.5"
"ND006_01","21-Jul-2025",9900000,1,"9.9e+06","6e+06","1.6","0.65",FALSE,1,"1.6"
"ND050_01","21-Jul-2025",7400000,1,"7.4e+06","6e+06","1.2","0.23",FALSE,1,"1.2"
"NY068_01","21-Jul-2025",1.7e+07,1,"1.7e+07","6e+06","2.8","1.8",FALSE,1,"2.8"
