"sample","pop","count"
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","root",1353632
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC",1227164
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC",1049849
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",966363
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",900030
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",786701
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",781783
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",630830
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",582478
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",66102
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",516376
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",226668
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",1818
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",224850
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",2035
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",222815
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",159020
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",63795
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",53168
"2025_08_05_AB_05-INF019-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",10627
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","root",1170048
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC",1047919
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC",832442
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",792400
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",726812
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",699999
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",685252
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",525577
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",475457
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",181040
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",294417
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",254381
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",1082
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",253299
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",2156
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",251143
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",159135
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",92008
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",82231
"2025_08_05_AB_05-INF019-04_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",9777
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","root",1710322
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC",1517501
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC",1200599
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",1151235
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",1065400
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",1033295
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",1025321
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",859276
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",813255
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",181552
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",631703
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",611507
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",2259
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",609248
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",6609
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",602639
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",423453
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",179186
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",166633
"2025_08_05_AB_05-INF019-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",12553
"2025_08_05_AB_05-INF032-00_SEB (Unmixed).fcs","root",1027392
"2025_08_05_AB_05-INF032-00_SEB (Unmixed).fcs","/singletsFSC",922706
"2025_08_05_AB_05-INF032-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC",754901
"2025_08_05_AB_05-INF032-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",711686
"2025_08_05_AB_05-INF032-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",694403
"2025_08_05_AB_05-INF032-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",663284
"2025_08_05_AB_05-INF032-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",660486
"2025_08_05_AB_05-INF032-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",579843
"2025_08_05_AB_05-INF032-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",574546
