"name","CD45","CD14","CD19","TandNKcells"
"INF003_00_01",8400000,2300000,1100000,4400000
"INF003_04_01",6e+06,145000,8e+05,4800000
"INF003_04_02",5e+06,230000,650000,4200000
"INF003_09_01",4550000,310000,1450000,2100000
"INF003_09_02",3550000,295000,1400000,1550000
"INF040_00_01",1.3e+07,2700000,1100000,8500000
"INF040_04_01",4300000,360000,1150000,2550000
"INF040_04_02",3600000,355000,1100000,2e+06
"INF040_09_01",5e+06,295000,8e+05,3950000
"INF040_09_02",6500000,370000,1050000,4550000
"INF058_04_01",6500000,650000,1950000,3900000
"INF058_04_02",5500000,455000,1550000,3200000
"INF058_09_01",9500000,1150000,1600000,5500000
"INF058_09_02",6500000,395000,1e+06,4550000
"INF067_00_01",1.1e+07,3600000,1900000,5200000
"INF067_04_01",3900000,550000,1200000,2050000
"INF067_04_02",3100000,450000,850000,1750000
"INF067_09_01",2550000,190000,650000,1550000
"INF067_09_02",1750000,155000,480000,1050000
"INF137_09_01",5500000,6e+05,1150000,2650000
"INF137_09_02",5500000,650000,1300000,2350000
"INF228_00_01",1.1e+07,3900000,990000,5500000
"INF228_04_01",1900000,260000,370000,9e+05
"INF228_04_02",2e+06,260000,410000,1e+06
"INF228_09_01",2900000,220000,750000,1850000
"INF228_09_02",3e+06,250000,750000,1850000
"INF318_00_01",1.6e+07,6700000,420000,7900000
"INF318_04_01",3200000,225000,550000,2300000
"INF318_04_02",3600000,190000,650000,2550000
"INF320_00_01",6400000,820000,950000,4500000
"ND050_11",6800000,1300000,390000,4900000
"NY068_11",1.7e+07,3100000,730000,1.2e+07
