"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF003_00_01","2603","30.86","8.4e+06",0.5,"4.2e+06","26.2","4L_UV","04-Oct-2025"
"INF003_04_01","3602","30.74","1.2e+07",0.5,"5.9e+06","27.1","4L_UV","04-Oct-2025"
"INF003_04_02","3185","30.79","1e+07",0.5,"5.2e+06","27.1","4L_UV","04-Oct-2025"
"INF003_09_01","2803","30.79","9.1e+06",0.5,"4.6e+06","27.1","4L_UV","04-Oct-2025"
"INF003_09_02","2173","30.66","7.1e+06",0.5,"3.5e+06","27.1","4L_UV","04-Oct-2025"
"INF040_00_01","3886","30.75","1.3e+07",0.5,"6.3e+06","27.3","4L_UV","04-Oct-2025"
"INF040_04_01","2631","30.68","8.6e+06",0.5,"4.3e+06","27.2","4L_UV","04-Oct-2025"
"INF040_04_02","2215","30.58","7.2e+06",0.5,"3.6e+06","27.1","4L_UV","04-Oct-2025"
"INF040_09_01","3202","30.56","1e+07",0.5,"5.2e+06","27.2","4L_UV","04-Oct-2025"
"INF040_09_02","3867","30.65","1.3e+07",0.5,"6.3e+06","27.3","4L_UV","04-Oct-2025"
"INF058_04_01","4182","30.99","1.3e+07",0.5,"6.7e+06","27.3","4L_UV","04-Oct-2025"
"INF058_04_02","3368","30.73","1.1e+07",0.5,"5.5e+06","27.2","4L_UV","04-Oct-2025"
"INF058_09_01","5850","30.84","1.9e+07",0.5,"9.5e+06","27.3","4L_UV","04-Oct-2025"
"INF058_09_02","3969","30.8","1.3e+07",0.5,"6.4e+06","27.3","4L_UV","04-Oct-2025"
"INF067_00_01","3380","30.72","1.1e+07",0.5,"5.5e+06","27.2","4L_UV","04-Oct-2025"
"INF067_04_01","2397","30.72","7.8e+06",0.5,"3.9e+06","27.2","4L_UV","04-Oct-2025"
"INF067_04_02","1904","30.82","6.2e+06",0.5,"3.1e+06","27.3","4L_UV","04-Oct-2025"
"INF067_09_01","1551","30.67","5.1e+06",0.5,"2.5e+06","27.2","4L_UV","04-Oct-2025"
"INF067_09_02","1067","30.62","3.5e+06",0.5,"1.7e+06","27.1","4L_UV","04-Oct-2025"
"INF137_09_01","3209","30.43","1.1e+07",0.5,"5.3e+06","27.1","4L_UV","04-Oct-2025"
"INF137_09_02","3328","30.38","1.1e+07",0.5,"5.5e+06","27.2","4L_UV","04-Oct-2025"
"INF228_00_01","3279","30.52","1.1e+07",0.5,"5.4e+06","27.2","4L_UV","04-Oct-2025"
"INF228_04_01","1162","30.41","3.8e+06",0.5,"1.9e+06","27.1","4L_UV","04-Oct-2025"
"INF228_04_02","1207","30.47","4e+06",0.5,"2e+06","27.2","4L_UV","04-Oct-2025"
"INF228_09_01","1772","30.5","5.8e+06",0.5,"2.9e+06","27.2","4L_UV","04-Oct-2025"
"INF228_09_02","1820","30.52","6e+06",0.5,"3e+06","27.2","4L_UV","04-Oct-2025"
"INF318_00_01","4824","30.37","1.6e+07",0.5,"7.9e+06","27.1","4L_UV","04-Oct-2025"
"INF318_04_01","1983","30.92","6.4e+06",0.5,"3.2e+06","28.1","4L_UV","04-Oct-2025"
"INF318_04_02","2195","30.52","7.2e+06",0.5,"3.6e+06","27.3","4L_UV","04-Oct-2025"
"INF320_00_01","1971","30.82","6.4e+06",0.5,"3.2e+06","27.2","4L_UV","04-Oct-2025"
"ND050_11","2079","30.36","6.8e+06",0.5,"3.4e+06","27.2","4L_UV","04-Oct-2025"
"NY068_11","5191","30.52","1.7e+07",0.5,"8.5e+06","27.1","4L_UV","04-Oct-2025"
