"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF003_00_01","04-Oct-2025",8400000,1,"8.4e+06","6e+06","1.4","0.4",FALSE,1,"1.4"
"INF003_04_01","04-Oct-2025",1.2e+07,0.5,"6e+06","6e+06","1","0.5",FALSE,1,"1"
"INF003_04_02","04-Oct-2025",1e+07,0.5,"5e+06","6e+06","0.83","0.33",FALSE,1,"0.83"
"INF003_09_01","04-Oct-2025",9100000,0.5,"4.6e+06","6e+06","0.77","0.27",FALSE,1,"0.77"
"INF003_09_02","04-Oct-2025",7100000,0.5,"3.6e+06","6e+06","0.6","0.1",FALSE,1,"0.6"
"INF040_00_01","04-Oct-2025",1.3e+07,1,"1.3e+07","6e+06","2.2","1.2",FALSE,1,"2.2"
"INF040_04_01","04-Oct-2025",8600000,0.5,"4.3e+06","6e+06","0.72","0.22",FALSE,1,"0.72"
"INF040_04_02","04-Oct-2025",7200000,0.5,"3.6e+06","6e+06","0.6","0.1",FALSE,1,"0.6"
"INF040_09_01","04-Oct-2025",1e+07,0.5,"5e+06","6e+06","0.83","0.33",FALSE,1,"0.83"
"INF040_09_02","04-Oct-2025",1.3e+07,0.5,"6.5e+06","6e+06","1.1","0.58",FALSE,1,"1.1"
"INF058_04_01","04-Oct-2025",1.3e+07,0.5,"6.5e+06","6e+06","1.1","0.58",FALSE,1,"1.1"
"INF058_04_02","04-Oct-2025",1.1e+07,0.5,"5.5e+06","6e+06","0.92","0.42",FALSE,1,"0.92"
"INF058_09_01","04-Oct-2025",1.9e+07,0.5,"9.5e+06","6e+06","1.6","1.1",FALSE,1,"1.6"
"INF058_09_02","04-Oct-2025",1.3e+07,0.5,"6.5e+06","6e+06","1.1","0.58",FALSE,1,"1.1"
"INF067_00_01","04-Oct-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"INF067_04_01","04-Oct-2025",7800000,0.5,"3.9e+06","6e+06","0.65","0.15",FALSE,1,"0.65"
"INF067_04_02","04-Oct-2025",6200000,0.5,"3.1e+06","6e+06","0.52","0.017",FALSE,1,"0.52"
"INF067_09_01","04-Oct-2025",5100000,0.5,"2.6e+06","6e+06","0.43","-0.067",TRUE,1,"0.43"
"Spin_INF067_09_01","04-Oct-2025",NA,NA,"2.6e+06","6e+06","0.43","0.43",FALSE,1,"0.43"
"INF067_09_02","04-Oct-2025",3500000,0.5,"1.8e+06","6e+06","0.3","-0.2",TRUE,1,"0.3"
"Spin_INF067_09_02","04-Oct-2025",NA,NA,"1.8e+06","6e+06","0.3","0.3",FALSE,1,"0.3"
"INF137_09_01","04-Oct-2025",1.1e+07,0.5,"5.5e+06","6e+06","0.92","0.42",FALSE,1,"0.92"
"INF137_09_02","04-Oct-2025",1.1e+07,0.5,"5.5e+06","6e+06","0.92","0.42",FALSE,1,"0.92"
"INF228_00_01","04-Oct-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"INF228_04_01","04-Oct-2025",3800000,0.5,"1.9e+06","6e+06","0.32","-0.18",TRUE,1,"0.32"
"Spin_INF228_04_01","04-Oct-2025",NA,NA,"1.9e+06","6e+06","0.32","0.32",FALSE,1,"0.32"
"INF228_04_02","04-Oct-2025",4e+06,0.5,"2e+06","6e+06","0.33","-0.17",TRUE,1,"0.33"
"Spin_INF228_04_02","04-Oct-2025",NA,NA,"2e+06","6e+06","0.33","0.33",FALSE,1,"0.33"
"INF228_09_01","04-Oct-2025",5800000,0.5,"2.9e+06","6e+06","0.48","-0.017",TRUE,1,"0.48"
"Spin_INF228_09_01","04-Oct-2025",NA,NA,"2.9e+06","6e+06","0.48","0.48",FALSE,1,"0.48"
"INF228_09_02","04-Oct-2025",6e+06,0.5,"3e+06","6e+06","0.5","0",FALSE,1,"0.5"
"INF318_00_01","04-Oct-2025",1.6e+07,1,"1.6e+07","6e+06","2.7","1.7",FALSE,1,"2.7"
"INF318_04_01","04-Oct-2025",6400000,0.5,"3.2e+06","6e+06","0.53","0.033",FALSE,1,"0.53"
"INF318_04_02","04-Oct-2025",7200000,0.5,"3.6e+06","6e+06","0.6","0.1",FALSE,1,"0.6"
"INF320_00_01","04-Oct-2025",6400000,1,"6.4e+06","6e+06","1.1","0.067",FALSE,1,"1.1"
"ND050_11","04-Oct-2025",6800000,1,"6.8e+06","6e+06","1.1","0.13",FALSE,1,"1.1"
"NY068_11","04-Oct-2025",1.7e+07,1,"1.7e+07","6e+06","2.8","1.8",FALSE,1,"2.8"
