"sample","pop","count"
"2025_07_31_AB_04-INF124-00_PPD.fcs","root",1246824
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC",1108772
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC",973652
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB",900843
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",703680
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",608432
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",604767
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",452525
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",367764
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",93997
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",273767
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",68997
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",981
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",68016
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",640
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",67376
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",46202
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",21174
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",18384
"2025_07_31_AB_04-INF124-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",2790
"2025_07_31_AB_04-INF124-04_PPD.fcs","root",1515456
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC",1357582
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC",1150459
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB",1069355
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",948655
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",859575
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",850582
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",604318
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",467118
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",125478
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",341640
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",257077
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",2327
"2025_07_31_AB_04-INF124-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",254750
