"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF134_00","2971","31.12","9.5e+06",0.5,"4.8e+06","27.3","4L_UV","28-Jul-2025"
"INF134_04_01","3330","30.88","1.1e+07",0.5,"5.4e+06","27.1","4L_UV","28-Jul-2025"
"INF134_04_02","2766","31.06","8.9e+06",0.5,"4.5e+06","27.3","4L_UV","28-Jul-2025"
"INF134_09_01","1120","31.05","3.6e+06",0.5,"1.8e+06","27.3","4L_UV","28-Jul-2025"
"INF134_09_02","1201","30.9","3.9e+06",0.5,"1.9e+06","27.3","4L_UV","28-Jul-2025"
"INF148_00","4834","30.81","1.6e+07",0.5,"7.8e+06","26.1","4L_UV","28-Jul-2025"
"INF148_04_01","438","30.07","1.5e+06",0.5,"7.3e+05","26.1","4L_UV","28-Jul-2025"
"INF148_04_02","614","31","2e+06",0.5,"9.9e+05","27.1","4L_UV","28-Jul-2025"
"INF148_09_01","1750","31.2","5.6e+06",0.5,"2.8e+06","27.4","4L_UV","28-Jul-2025"
"INF148_09_02","1284","31.07","4.1e+06",0.5,"2.1e+06","27.3","4L_UV","28-Jul-2025"
"INF191_00","4768","30.88","1.5e+07",0.5,"7.7e+06","27.4","4L_UV","28-Jul-2025"
"INF191_04_01","1723","30.84","5.6e+06",0.5,"2.8e+06","27.3","4L_UV","28-Jul-2025"
"INF191_04_02","1450","30.68","4.7e+06",0.5,"2.4e+06","27.3","4L_UV","28-Jul-2025"
"INF191_09_01","2464","31.06","7.9e+06",0.5,"4e+06","27.6","4L_UV","28-Jul-2025"
"INF191_09_02","5987","30.76","1.9e+07",0.5,"9.7e+06","27.3","4L_UV","28-Jul-2025"
"ND006_03","2880","30.73","9.4e+06",0.5,"4.7e+06","27.4","4L_UV","28-Jul-2025"
"ND050_03","2354","30.48","7.7e+06",0.5,"3.9e+06","27.2","4L_UV","28-Jul-2025"
"NY068_03","5514","30.62","1.8e+07",0.5,"9e+06","27.2","4L_UV","28-Jul-2025"
