"specimen","vial"
"INF148",1
"INF148",2
"INF148",3
"INF148",4
"INF148",5
"INF134",1
"INF134",2
"INF134",3
"INF134",4
"INF134",5
"INF191",1
"INF191",2
"INF191",3
"INF191",4
"INF191",5
"NY068",1
"ND050",1
"ND006",1
"INF148",1
"INF148",2
"INF148",3
"INF148",4
"INF148",5
"INF134",1
"INF134",2
"INF134",3
"INF134",4
"INF134",5
"INF191",1
"INF191",2
"INF191",3
"INF191",4
"INF191",5
"NY068",1
"ND050",1
"ND006",1
