"name","CD45","CD14","CD19","TandNKcells"
"INF134_00",9500000,3e+06,1400000,4800000
"INF134_04_01",5500000,440000,1400000,3300000
"INF134_04_02",4450000,345000,1150000,2800000
"INF134_09_01",1800000,2e+05,270000,1150000
"INF134_09_02",1950000,190000,340000,1150000
"INF148_00",1.6e+07,1700000,2700000,9700000
"INF148_04_01",750000,36500,115000,465000
"INF148_04_02",1e+06,40500,180000,6e+05
"INF148_09_01",2800000,220000,335000,1600000
"INF148_09_02",2050000,125000,245000,1200000
"INF191_00",1.5e+07,4500000,1800000,7900000
"INF191_04_01",2800000,145000,7e+05,1850000
"INF191_04_02",2350000,145000,650000,1450000
"INF191_09_01",3950000,265000,1300000,2e+06
"INF191_09_02",9500000,6e+05,3350000,5e+06
"ND006_03",9400000,1300000,1100000,6600000
"ND050_03",7700000,1300000,360000,5600000
"NY068_03",1.8e+07,3e+06,860000,1.3e+07
