"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF166_00_01","3055","30.34","1e+07",0.5,"5e+06","26.6","4L_UV","27-Aug-2025"
"INF166_00_02","3037","30.72","9.9e+06",0.5,"4.9e+06","27.1","4L_UV","27-Aug-2025"
"INF166_04_01","3148","31.11","1e+07",0.5,"5.1e+06","27.4","4L_UV","27-Aug-2025"
"INF166_04_02","2724","30.92","8.8e+06",0.5,"4.4e+06","27.3","4L_UV","27-Aug-2025"
"INF166_09_01","2388","30.83","7.7e+06",0.5,"3.9e+06","27.2","4L_UV","27-Aug-2025"
"INF166_09_02","2648","30.72","8.6e+06",0.5,"4.3e+06","27.1","4L_UV","27-Aug-2025"
"INF199_00_01","4788","30.87","1.6e+07",0.5,"7.8e+06","27.3","4L_UV","27-Aug-2025"
"INF199_00_02","3413","30.67","1.1e+07",0.5,"5.6e+06","27.1","4L_UV","27-Aug-2025"
"INF199_04_01","2178","30.03","7.3e+06",0.5,"3.6e+06","26.5","4L_UV","27-Aug-2025"
"INF199_04_02","2758","30.69","9e+06",0.5,"4.5e+06","27.1","4L_UV","27-Aug-2025"
"INF199_09_01","1990","30.81","6.5e+06",0.5,"3.2e+06","27.2","4L_UV","27-Aug-2025"
"INF199_09_02","1633","31.02","5.3e+06",0.5,"2.6e+06","27.4","4L_UV","27-Aug-2025"
"INF207_00_01","2674","30.68","8.7e+06",0.5,"4.4e+06","27.1","4L_UV","27-Aug-2025"
"INF207_00_02","3219","31.04","1e+07",0.5,"5.2e+06","27.5","4L_UV","27-Aug-2025"
"INF207_04_01","2248","30.68","7.3e+06",0.5,"3.7e+06","27.1","4L_UV","27-Aug-2025"
"INF207_04_02","2628","30.94","8.5e+06",0.5,"4.2e+06","27.3","4L_UV","27-Aug-2025"
"INF207_09_01","2405","30.68","7.8e+06",0.5,"3.9e+06","27.1","4L_UV","27-Aug-2025"
"INF207_09_02","2116","30.96","6.8e+06",0.5,"3.4e+06","27.3","4L_UV","27-Aug-2025"
"ND006_08","2465","30.13","8.2e+06",0.5,"4.1e+06","26.6","4L_UV","27-Aug-2025"
"ND050_08","2222","30.69","7.2e+06",0.5,"3.6e+06","27.1","4L_UV","27-Aug-2025"
"NY068_08","5112","30.73","1.7e+07",0.5,"8.3e+06","27.2","4L_UV","27-Aug-2025"
