"specimen","vial"
"INF166-3",1
"INF166-3",2
"INF166-3",3
"INF166-3",4
"INF166-3",5
"INF166-3",6
"INF199-9",1
"INF199-9",2
"INF199-9",3
"INF199-9",4
"INF199-9",5
"INF199-9",6
"INF207-9",1
"INF207-9",2
"INF207-9",3
"INF207-9",4
"INF207-9",5
"INF207-9",6
"NY068",1
"ND050",1
"ND006",1
