"sample","pop","count"
"2025_07_29_AB_03-INF134-00_PPD.fcs","root",1245024
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC",1126248
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC",993895
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB",896183
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",709388
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",570511
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",560401
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",420303
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",378419
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",65087
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",313332
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",139312
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",1317
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",137995
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",3605
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",134390
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",97020
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",37370
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",31490
"2025_07_29_AB_03-INF134-00_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",5880
"2025_07_29_AB_03-INF134-04_PPD.fcs","root",1340280
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC",1201488
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC",986763
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB",947027
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",931169
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",915753
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",897993
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",711190
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",673604
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",227706
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",445898
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",365074
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",3821
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",361253
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",9350
"2025_07_29_AB_03-INF134-04_PPD.fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",351903
